id,first_name,last_name,birth,gender,class,Subject,score
10001,John,Doe,2000-01-01,M,A,Calculus,63
10001,John,Doe,2000-01-01,M,A,Geometry,65
10001,John,Doe,2000-01-01,M,A,Statistics,63
10002,Jane,Smith,2000-01-02,F,B,Calculus,63
10002,Jane,Smith,2000-01-02,F,B,Geometry,64
10002,Jane,Smith,2000-01-02,F,B,Statistics,94
10003,Sarah,Thomas,2000-01-03,M,B,Calculus,96
10003,Sarah,Thomas,2000-01-03,M,B,Geometry,73
10003,Sarah,Thomas,2000-01-03,M,B,Statistics,61
10004,Frank,Brown,2000-01-04,M,A,Calculus,88
10004,Frank,Brown,2000-01-04,M,A,Geometry,73
10004,Frank,Brown,2000-01-04,M,A,Statistics,86
10005,Mike,Davis,2000-01-05,F,C,Calculus,94
10005,Mike,Davis,2000-01-05,F,C,Geometry,78
10005,Mike,Davis,2000-01-05,F,C,Statistics,90
10006,Jennifer,Wilson,2000-01-06,M,C,Calculus,90
10006,Jennifer,Wilson,2000-01-06,M,C,Geometry,78
10006,Jennifer,Wilson,2000-01-06,M,C,Statistics,68
10007,Jessica,Garcia,2000-01-07,F,B,Calculus,70
10007,Jessica,Garcia,2000-01-07,F,B,Geometry,83
10007,Jessica,Garcia,2000-01-07,F,B,Statistics,80
10008,Fred,Clark,2000-01-08,F,C,Calculus,66
10008,Fred,Clark,2000-01-08,F,C,Geometry,71
10008,Fred,Clark,2000-01-08,F,C,Statistics,94
10009,Bob,Lopez,2000-01-09,F,B,Calculus,91
10009,Bob,Lopez,2000-01-09,F,B,Geometry,81
10009,Bob,Lopez,2000-01-09,F,B,Statistics,75
