Category;City;Country/Region;Customer Name;Manufacturer;Order Date;Order ID;Postal Code;Product Name;Region;Segment;Ship Date;Ship Mode;State;Sub-Category;Discount;Profit;Quantity;Sales
Furniture;Henderson;United States;Claire Gute;Bush;8.11.2020;CA-2020-152156;42420;Bush Somerset Collection Bookcase;South;Consumer;11.11.2020;Second Class;Kentucky;Bookcases;0;41,9136;2;261,96
Furniture;Henderson;United States;Claire Gute;Hon;8.11.2020;CA-2020-152156;42420;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;South;Consumer;11.11.2020;Second Class;Kentucky;Chairs;0;219,582;3;731,94
Office Supplies;Los Angeles;United States;Darrin Van Huff;Universal;12.06.2020;CA-2020-138688;90036;Self-Adhesive Address Labels for Typewriters by Universal;West;Corporate;16.06.2020;Second Class;California;Labels;0;6,8714;2;14,62
Furniture;Fort Lauderdale;United States;Sean O'Donnell;Bretford;11.10.2019;US-2019-108966;33311;Bretford CR4500 Series Slim Rectangular Table;South;Consumer;18.10.2019;Standard Class;Florida;Tables;0,45;-383,031;5;957,5775
Office Supplies;Fort Lauderdale;United States;Sean O'Donnell;Eldon;11.10.2019;US-2019-108966;33311;Eldon Fold 'N Roll Cart System;South;Consumer;18.10.2019;Standard Class;Florida;Storage;0,2;2,5164;2;22,368
Furniture;Los Angeles;United States;Brosina Hoffman;Eldon;9.06.2018;CA-2018-115812;90032;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;West;Consumer;14.06.2018;Standard Class;California;Furnishings;0;14,1694;7;48,86
Office Supplies;Los Angeles;United States;Brosina Hoffman;Newell;9.06.2018;CA-2018-115812;90032;Newell 322;West;Consumer;14.06.2018;Standard Class;California;Art;0;1,9656;4;7,28
Technology;Los Angeles;United States;Brosina Hoffman;Mitel;9.06.2018;CA-2018-115812;90032;Mitel 5320 IP Phone VoIP phone;West;Consumer;14.06.2018;Standard Class;California;Phones;0,2;90,7152;6;907,152
Office Supplies;Los Angeles;United States;Brosina Hoffman;DXL;9.06.2018;CA-2018-115812;90032;DXL Angle-View Binders with Locking Rings by Samsill;West;Consumer;14.06.2018;Standard Class;California;Binders;0,2;5,7825;3;18,504
Office Supplies;Los Angeles;United States;Brosina Hoffman;Belkin;9.06.2018;CA-2018-115812;90032;Belkin F5C206VTEL 6 Outlet Surge;West;Consumer;14.06.2018;Standard Class;California;Appliances;0;34,47;5;114,9
Furniture;Los Angeles;United States;Brosina Hoffman;Chromcraft;9.06.2018;CA-2018-115812;90032;Chromcraft Rectangular Conference Tables;West;Consumer;14.06.2018;Standard Class;California;Tables;0,2;85,309200000;9;1706,184
Technology;Los Angeles;United States;Brosina Hoffman;Other;9.06.2018;CA-2018-115812;90032;Konftel 250 Conference phone - Charcoal black;West;Consumer;14.06.2018;Standard Class;California;Phones;0,2;68,3568;4;911,424
Office Supplies;Concord;United States;Andrew Allen;Xerox;15.04.2021;CA-2021-114412;28027;Xerox 1967;South;Consumer;20.04.2021;Standard Class;North Carolina;Paper;0,2;5,4432;3;15,552
Office Supplies;Seattle;United States;Irene Maddox;Fellowes;5.12.2020;CA-2020-161389;98103;Fellowes PB200 Plastic Comb Binding Machine;West;Consumer;10.12.2020;Standard Class;Washington;Binders;0,2;132,5922;3;407,976
Office Supplies;Fort Worth;United States;Harold Pawlan;Holmes;22.11.2019;US-2019-118983;76106;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;Central;Home Office;26.11.2019;Standard Class;Texas;Appliances;0,8;-123,858;5;68,81
