Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,Gaithersburg,United States,Brendan Murry,Bush,1/2/2021,US-2021-160304,20877,"Bush Westfield Collection Bookcases, Medium Cherry Finish",East,Corporate,1/7/2021,Standard Class,Maryland,Bookcases,0,38.2668,3,173.94
Technology,Gaithersburg,United States,Brendan Murry,Other,1/2/2021,US-2021-160304,20877,GE 30522EE2,East,Corporate,1/7/2021,Standard Class,Maryland,Phones,0,67.2742,2,231.98
Furniture,Broken Arrow,United States,Bill Overfelt,Hon,1/3/2021,US-2021-105207,74012,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Central,Corporate,1/8/2021,Standard Class,Oklahoma,Tables,0,350.427,7,1592.85
Office Supplies,Broken Arrow,United States,Bill Overfelt,Storex,1/3/2021,US-2021-105207,74012,Storex Dura Pro Binders,Central,Corporate,1/8/2021,Standard Class,Oklahoma,Binders,0,5.346,2,11.88
Office Supplies,Los Angeles,United States,Lena Radford,Other,1/3/2021,US-2021-125206,90045,Recycled Steel Personal File for Hanging File Folders,West,Consumer,1/5/2021,First Class,California,Storage,0,28.615,2,114.46
Technology,San Antonio,United States,Christine Abelman,Imation,1/3/2021,US-2021-116365,78207,Imation Clip USB flash drive - 8 GB,Central,Corporate,1/8/2021,Standard Class,Texas,Accessories,0.2,-5.264,2,30.08
Technology,San Antonio,United States,Christine Abelman,WD My Passport,1/3/2021,US-2021-116365,78207,WD My Passport Ultra 1TB Portable External Hard Drive,Central,Corporate,1/8/2021,Standard Class,Texas,Accessories,0.2,-6.210000000,3,165.6
Technology,San Antonio,United States,Christine Abelman,AT&T,1/3/2021,US-2021-116365,78207,AT&T 17929 Lendline Telephone,Central,Corporate,1/8/2021,Standard Class,Texas,Phones,0.2,13.572,5,180.96
Office Supplies,Philadelphia,United States,Ben Peterman,Newell,1/4/2021,US-2021-158211,19143,Newell 312,East,Corporate,1/8/2021,Standard Class,Pennsylvania,Art,0.2,0.584,1,4.672
Office Supplies,Philadelphia,United States,Ben Peterman,Avery,1/4/2021,US-2021-158211,19143,Avery Arch Ring Binders,East,Corporate,1/8/2021,Standard Class,Pennsylvania,Binders,0.7,-80.178,6,104.58
Technology,Charlotte,United States,Erica Bern,Hewlett-Packard,1/4/2021,US-2021-164630,28205,Hewlett Packard 310 Color Digital Copier,South,Corporate,1/9/2021,Standard Class,North Carolina,Copiers,0.2,119.996,4,959.968
Office Supplies,Jacksonville,United States,Anthony Johnson,Newell,1/5/2021,US-2021-134474,32216,Newell 337,South,Corporate,1/7/2021,Second Class,Florida,Art,0.2,0.590400000,2,5.248
